displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.0,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
40.0,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,130.0,70.0,12.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,18.0,130.0,90.0,15.0
49.0,1.0,4.0,39.0,41.4,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,90.0,90.0,21.0,160.0,80.0,16.0
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
124.0,1.0,4.0,54.0,54.0,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,100.0,90.0,18.0
124.6,2.0,4.0,44.0,40.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
320.0,2.0,4.0,62.0,53.0,Carburettor,0,0,1,0,5.0,0,0,1,0,80.0,90.0,21.0,160.0,80.0,16.0
124.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,120.0,70.0,12.0
124.0,1.0,4.0,52.4,57.8,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,120.0,70.0,12.0
40.0,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,130.0,70.0,12.0
40.0,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,130.0,70.0,12.0
49.0,1.0,2.0,40.0,39.2,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,,,
49.0,1.0,2.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,,,,,,
49.0,1.0,4.0,39.0,41.5,Carburettor,0,1,0,0,,1,1,0,0,120.0,70.0,12.0,120.0,70.0,12.0
124.0,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,120.0,80.0,17.0,140.0,70.0,17.0
124.5,1.0,4.0,54.0,54.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,80.0,17.0,120.0,70.0,17.0
49.3,1.0,2.0,40.0,39.2,Carburettor,0,0,1,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
49.3,1.0,2.0,40.0,39.2,Carburettor,0,0,1,0,6.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
49.3,1.0,2.0,40.0,39.2,Carburettor,0,0,1,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
124.0,1.0,4.0,54.0,54.0,Carburettor,0,1,0,0,5.0,0,0,1,0,110.0,70.0,17.0,130.0,70.0,17.0
248.0,1.0,4.0,69.9,64.9,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
248.0,1.0,4.0,69.9,64.9,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
348.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
347.0,1.0,4.0,69.0,93.0,Carburettor,0,1,0,0,4.0,0,0,1,0,,,,,,
