Displacement,Engine type,Bore x stroke,Fuel system,Cooling system,Gearbox,Transmission type,Fuel capacity,Front tire,Rear tire,Front brakes,Rear brakes,displacement_cc,cylinder_count,engine_cycle,bore_mm,stroke_mm,fuel_system_type,fuel_injection,cooling_Air,cooling_Liquid,cooling_Oil & air,gear_count,is_automatic,transmission_Belt   (final drive),transmission_Chain   (final drive),transmission_Shaft drive (cardan)   (final drive),front_tyre_width,front_tyre_aspect,front_tyre_rim,rear_tyre_width,rear_tyre_aspect,rear_tyre_rim
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin Electronic Fuel Injection,Air,5-speed,Chain   (final drive),14.50,90/90-19 ,120/80-18 ,Single disc,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-19 ,120/80-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-19 ,120/80-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-19 ,120/80-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-19 ,120/80-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),13.50,90/90-19 ,120/80-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,19.0,120.0,80.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-18 ,110/90-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,18.0,110.0,90.0,18.0
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Injection. Keihin EFI,Air,5-speed,Chain   (final drive),14.50,90/90-18 ,110/90-18 ,Single disc. 2-Piston caliper,Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,90.0,90.0,18.0,110.0,90.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection. Keihin Electronic Fuel Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18. ,100/90-18. ,Single disc. Floating discs. 2-Piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,100.0,90.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection. Digital Electronic Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18 ,100/90-18 ,Single disc. Floating discs. 2-Piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,100.0,90.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection. Keihin Digital Electronic Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18 ,100/90-18 ,Single disc. Floating discs. 2-Piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,100.0,90.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection. Keihin Digital Electronic Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18 ,100/90-18 ,Single disc. Floating discs. Brembo 2-Piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,100.0,90.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18 ,130/70-18 ,Single disc. Floating discs. Brembo 2-piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
648.0 ccm (39.54 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection,Oil & air,5-speed,Chain   (final drive),13.50,100/90-18 ,130/70-18 ,Single disc. Floating discs. Brembo 2-piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,648.0,1.0,4.0,87.0,90.0,Injection,1,0,0,1,5.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
648.0 ccm (39.54 cubic inches),"Twin, four-stroke",78.0 x 67.8 mm (3.1 x 2.7 inches),Injection,Air,6-speed,Chain   (final drive),12.50,100/90-18 ,130/70-18 ,Single disc. ABS,Single disc. ABS ,648.0,2.0,4.0,78.0,67.8,Injection,1,1,0,0,6.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",87.0 x 90.0 mm (3.4 x 3.5 inches),Injection,Air,5-speed,Chain   (final drive),13.50,100/90-18 ,130/70-18 ,Single disc. Floating discs. Brembo 2-piston floating caliper.,Single disc. Floating disc. Single-piston caliper. ,535.0,1.0,4.0,87.0,90.0,Injection,1,1,0,0,5.0,0,0,1,0,100.0,90.0,18.0,130.0,70.0,18.0
346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",70.0 x 90.0 mm (2.8 x 3.5 inches),Carburettor. BS29 / UCAL,Air,5-speed,Chain   (final drive),13.50,3.25-19 ,3.25-19 ,Single disc,Expanding brake (drum brake),346.0,1.0,4.0,70.0,90.0,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor,Air,5-speed,Chain   (final drive),14.50,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),499.0,1.0,4.0,84.0,90.0,Carburettor,0,1,0,0,5.0,0,0,1,0,,,,,,
